OG0000207	OFRAG00000004254.1
OG0017796	OFRAG00000015475.1
OG0018177	OFRAG00000008223.1, OFRAG00000008225.1, OFRAG00000013102.1, OFRAG00000013105.1, OFRAG00000016809.1, OFRAG00000016817.1
OG0019004	OFRAG00000013479.1
OG0019075	OFRAG00000007374.1
OG0019169	OFRAG00000009108.1
OG0019294	OFRAG00000009720.1
OG0019542	OFRAG00000010256.1
OG0019706	OFRAG00000000907.1
OG0020333	OFRAG00000000368.1, OFRAG00000000369.1, OFRAG00000000371.1, OFRAG00000015055.1, OFRAG00000015331.1
OG0020957	OFRAG00000011786.1
OG0020999	OFRAG00000016156.1
OG0021150	OFRAG00000015831.1
OG0021590	OFRAG00000017608.1
OG0021757	OFRAG00000008916.1, OFRAG00000010741.1
OG0021820	OFRAG00000016414.1
OG0021840	OFRAG00000010623.1
OG0021863	OFRAG00000004471.1, OFRAG00000010002.1, OFRAG00000017769.1, OFRAG00000017770.1
OG0021914	OFRAG00000007982.1
OG0022217	OFRAG00000002931.1
OG0022252	OFRAG00000010119.1
OG0022398	OFRAG00000003852.1
OG0022417	OFRAG00000008400.1
OG0022455	OFRAG00000015471.1
OG0023409	OFRAG00000002173.1
OG0023582	OFRAG00000001330.1
OG0023590	OFRAG00000006046.1
OG0024222	OFRAG00000016329.1
OG0024318	OFRAG00000014848.1
OG0024862	OFRAG00000015646.1
OG0025133	OFRAG00000002196.1
OG0025367	OFRAG00000009609.1
OG0025392	OFRAG00000007130.1
OG0025579	OFRAG00000015708.1
OG0025807	OFRAG00000013180.1
OG0026129	OFRAG00000014108.1
OG0026237	OFRAG00000003043.1
OG0026249	OFRAG00000010073.1
OG0026283	OFRAG00000009591.1, OFRAG00000009592.1, OFRAG00000014752.1
OG0026303	OFRAG00000015132.1
OG0026322	OFRAG00000008235.1
OG0026329	OFRAG00000002872.1
OG0026569	OFRAG00000013592.1
OG0027843	OFRAG00000013692.1, OFRAG00000015565.1
OG0028025	OFRAG00000000183.1, OFRAG00000000184.1, OFRAG00000000185.1
OG0028268	OFRAG00000000916.1, OFRAG00000008137.1
OG0028277	OFRAG00000002030.1, OFRAG00000015418.1, OFRAG00000017868.1
OG0028279	OFRAG00000002646.1, OFRAG00000012272.1
OG0028282	OFRAG00000002870.1
OG0028294	OFRAG00000005996.1
OG0028300	OFRAG00000009145.1
OG0029413	OFRAG00000017738.1
OG0029777	OFRAG00000014731.1
OG0029847	OFRAG00000013465.1
OG0029894	OFRAG00000015539.1
OG0030883	OFRAG00000001125.1
OG0030993	OFRAG00000010058.2
OG0031393	OFRAG00000013073.1
OG0031541	OFRAG00000001001.1, OFRAG00000001002.1
OG0031824	OFRAG00000008674.1
OG0031834	OFRAG00000001642.1
OG0031973	OFRAG00000003112.1
OG0032259	OFRAG00000002369.1
OG0032431	OFRAG00000002031.1, OFRAG00000016177.1
OG0032460	OFRAG00000001058.1, OFRAG00000001059.1
OG0032504	OFRAG00000005356.1, OFRAG00000005362.1
OG0032745	OFRAG00000015472.1
OG0033037	OFRAG00000001507.1
OG0033225	OFRAG00000012856.1
OG0033263	OFRAG00000000193.1
OG0033417	OFRAG00000013211.1
OG0034867	OFRAG00000004318.1
OG0034927	OFRAG00000002710.1
OG0035352	OFRAG00000007396.1
OG0035507	OFRAG00000001519.1, OFRAG00000001574.1
OG0035516	OFRAG00000006140.1
OG0035583	OFRAG00000000163.1, OFRAG00000008623.1
OG0035585	OFRAG00000013542.1
OG0035586	OFRAG00000003745.1
OG0035869	OFRAG00000000835.1, OFRAG00000000836.1
OG0035902	OFRAG00000005899.1, OFRAG00000005901.1
OG0035913	OFRAG00000007306.2
OG0035932	OFRAG00000012504.1
OG0035935	OFRAG00000012706.1
OG0035943	OFRAG00000016189.1
OG0035945	OFRAG00000017817.1
OG0038420	OFRAG00000001414.1
OG0039672	OFRAG00000013070.1
OG0040413	OFRAG00000007661.1
OG0040645	OFRAG00000007492.1
OG0040885	OFRAG00000010374.1
OG0040973	OFRAG00000008700.1
OG0041110	OFRAG00000017618.1
OG0041118	OFRAG00000017604.1
OG0041181	OFRAG00000017599.1
OG0041184	OFRAG00000017615.1
OG0041529	OFRAG00000011328.1
OG0041975	OFRAG00000014073.1
OG0042951	OFRAG00000015427.1
OG0043173	OFRAG00000002246.1
OG0043230	OFRAG00000004737.1
OG0043773	OFRAG00000015476.1
OG0043963	OFRAG00000015469.1
OG0044166	OFRAG00000015474.1
OG0044391	OFRAG00000009399.1
OG0044706	OFRAG00000005731.1
OG0045595	OFRAG00000015017.1
OG0047212	OFRAG00000012344.1
OG0047415	OFRAG00000011310.1
OG0048605	OFRAG00000003335.1
OG0049540	OFRAG00000015517.1
OG0049590	OFRAG00000015516.1
OG0050475	OFRAG00000008395.1
OG0050490	OFRAG00000009738.1
OG0050557	OFRAG00000015038.1
OG0050582	OFRAG00000017270.1
