Orthogroup	Panther_annotation
OG0019169	 PROTEIN KINASE C
OG0019294	 FAMILY NOT NAMED
OG0019542	 MUSCLE SKELETAL RECEPTOR TYROSINE-PROTEIN KINASE
OG0019706	 NO HIT
OG0020333	 ELRR (EXTRACELLULAR LEUCINE-RICH REPEAT) ONLY
OG0020957	 ANGIOPOIETIN-RELATED PROTEIN 3
OG0020999	 IMMUNOGLOBULIN SUPERFAMILY-CONTAINING LEUCINE-RICH REPEAT 2
OG0021150	 TYROSINE-PROTEIN KINASE RECEPTOR
OG0021590	 HOLOCARBOXYLASE SYNTHETASE (BIOTIN-(PROPRIONYL-COA-CARBOXYLASE (ATP-HYDROLYSING)) LIGASE)
OG0021757	 WHITE (DROSOPHILA) RELATED ABC TRANSPORTER
OG0021820	 TYROSINE-PROTEIN KINASE FER
OG0021840	 MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT
OG0021863	 TRACE AMINE-ASSOCIATED RECEPTOR 19N-RELATED
OG0021914	 LD25378P
OG0022217	 GUANINE NUCLEOTIDE EXCHANGE FACTOR MCF2L2-RELATED
OG0022252	 ECDYSONE-INDUCIBLE GENE E1 ISOFORM A
OG0022398	 FAMILY NOT NAMED
OG0022417	 PROTEIN KINASE C BETA TYPE
OG0022455	 SUBFAMILY NOT NAMED
OG0023409	 LEUCINE-RICH REPEAT-CONTAINING PROTEIN 70
OG0023582	 VON WILLEBRAND FACTOR D AND EGF DOMAIN-CONTAINING PROTEIN
OG0023590	 FAMILY NOT NAMED
OG0024222	 BETA-2-GLYCOPROTEIN 1
OG0024318	 ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR
OG0024862	 GLUTAMINE--TRNA LIGASE
OG0025133	 PROTEASE M1 ZINC METALLOPROTEASE
OG0025367	 SULFOTRANSFERASE 4 ISOFORM A
OG0025392	 BLACK ISOFORM A
OG0025579	 NO HIT
OG0025807	 NO HIT
OG0026129	 GLI PATHOGENESIS-RELATED 1-LIKE 3-RELATED
OG0026237	 AGAP008170-PA
OG0026249	 FAMILY NOT NAMED
OG0026283	 A DISINTEGRIN AND METALLOPROTEINASE WITH THROMBOSPONDIN MOTIFS 2
OG0026303	 UNC80
OG0026322	 ANKYRIN REPEAT AND SOCS BOX PROTEIN 3
OG0026329	 NEUROLIGIN
OG0026569	 PROTEIN JAGGED-1
OG0027843	 DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC1
OG0028025	 COLLAGEN ALPHA-4(VI) CHAIN
OG0028268	 MYOSIN HEAVY CHAIN NON-MUSCLE
OG0028277	 ECDYSONE-INDUCIBLE GENE E1 ISOFORM A
OG0028279	 NO HIT
OG0028282	 NEUROLIGIN
OG0028294	 SI:DKEY-1J5.4
OG0028300	 SUBFAMILY NOT NAMED
OG0029413	 GH08155P
OG0029777	 TRANSCRIPTION ELONGATION REGULATOR 1
OG0029847	 SUBFAMILY NOT NAMED
OG0029894	 POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY A MEMBER 6
OG0030883	 REELIN
OG0030993	 CELL DIVISION CYCLE-ASSOCIATED PROTEIN 3
OG0031393	 METABOTROPIC GLUTAMATE RECEPTOR
OG0031541	 CYCLIN-DEPENDENT KINASE INHIBITOR 2C-RELATED
OG0031824	 DYNEIN HEAVY CHAIN 8 AXONEMAL
OG0031834	 CASEIN KINASE I ISOFORM GAMMA-3
OG0031973	 MUCIN
OG0032259	 METALLOENDOPROTEINASE 1-LIKE
OG0032431	 PROTEIN SLIT
OG0032460	 TETRASPANIN
OG0032504	 PROTOCADHERIN FAT 3
OG0032745	 PROTEIN GVQW1
OG0033037	 ZINC FINGER PROTEIN
OG0033225	 TETRASPANIN
OG0033263	 SHORT/BRANCHED CHAIN SPECIFIC ACYL-COA DEHYDROGENASE MITOCHONDRIAL
OG0033417	 SUBFAMILY NOT NAMED
OG0034867	 NO HIT
OG0034927	 SUBFAMILY NOT NAMED
OG0035352	 ZINC FINGER-CONTAINING
OG0035507	 ATP-BINDING CASSETTE SUB-FAMILY D MEMBER 3
OG0035516	 NEUROPEPTIDE CCHAMIDE-1 RECEPTOR
OG0035583	 UNCHARACTERIZED
OG0035585	 DUAL SPECIFICITY PROTEIN PHOSPHATASE 8
OG0035586	 DIHYDROLIPOYL DEHYDROGENASE MITOCHONDRIAL
OG0035869	 NO HIT
OG0035902	 HISTONE-LYSINE N-METHYLTRANSFERASE SETD2
OG0035913	 MYOSIN HEAVY CHAIN NON-MUSCLE
OG0035932	 INACTIVE PHOSPHOLIPASE C-LIKE PROTEIN 2
OG0035935	 ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 66
OG0035943	 SUBFAMILY NOT NAMED
OG0035945	 FAMILY NOT NAMED
OG0038420	 SUBFAMILY NOT NAMED
OG0039672	 PROTEIN CBG09704
OG0040413	 RH04535P
OG0040645	 SULFOTRANSFERASE
OG0040885	 ZGC:101858
OG0040973	 SUBFAMILY NOT NAMED
OG0041110	 FLAVODOXIN FAMILY PROTEIN
OG0041118	 3-ISOPROPYLMALATE DEHYDRATASE
OG0041181	 HIGH-AFFINITY BRANCHED-CHAIN AMINO ACID TRANSPORT SYSTEM PERMEASE
OG0041184	 MOLYBDENUM COFACTOR GUANYLYLTRANSFERASE
OG0041529	 SCRATCH FAMILY TRANSCRIPTIONAL REPRESSOR 1-RELATED
OG0041975	 MYOSIN HEAVY CHAIN MUSCLE
OG0042951	 PUTATIVE TRANSPOSASE FOR IS117-RELATED
OG0043173	 NEUROLIGIN
OG0043230	 PROTEIN SHIFTED
OG0043773	 PROTEIN GVQW1
OG0043963	 SUBFAMILY NOT NAMED
OG0044166	 SUBFAMILY NOT NAMED
OG0044391	 CALCIUM PERMEABLE STRESS-GATED CATION CHANNEL 1
OG0044706	 VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 4B
OG0045595	 ZINC FINGER AND BTB DOMAIN-CONTAINING
OG0047212	 ALPHA-MANNOSIDASE 2X
OG0047415	 NO HIT
OG0048605	 THAP DOMAIN-CONTAINING
OG0049540	 ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
OG0049590	 N-(5'-PHOSPHORIBOSYL)ANTHRANILATE ISOMERASE
OG0050475	 REGULATOR OF G-PROTEIN SIGNALING 7-LIKE PROTEIN
OG0050490	 PROTEIN TRANSPORT PROTEIN SEC24D
OG0050557	 GLOBIN RELATED
OG0050582	 MITOGEN-ACTIVATED PROTEIN KINASE 11
