OG0001122	riftia	.	.	.	RPACG00000004247.1	NO HIT
OG0001122	riftia	.	.	.	RPACG00000022635.1	NO HIT
OG0001122	riftia	.	.	.	RPACG00000034009.1	SUBFAMILY NOT NAMED	
OG0001122	riftia	.	.	.	RPACG00000034547.1	NO HIT
OG0001122	riftia	.	.	.	RPACG00000035056.1	NO HIT
OG0001122	riftia	.	.	.	RPACG00000035057.1	NO HIT
OG0001462	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0005515^molecular_function^protein binding`GO:0007165^biological_process^signal transduction	RPACG00000001484.1	TOLL-LIKE RECEPTOR 13	
OG0001462	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0005515^molecular_function^protein binding`GO:0007165^biological_process^signal transduction	RPACG00000001486.1	TOLL-LIKE RECEPTOR 13	
OG0001462	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0005515^molecular_function^protein binding`GO:0007165^biological_process^signal transduction	RPACG00000001487.1	TOLL-LIKE RECEPTOR 13	
OG0001462	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0005515^molecular_function^protein binding`GO:0007165^biological_process^signal transduction	RPACG00000002343.1	TOLL-LIKE RECEPTOR 13	
OG0001462	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0005515^molecular_function^protein binding`GO:0007165^biological_process^signal transduction	RPACG00000012897.1	MSTPROX-RELATED	
OG0001462	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0005515^molecular_function^protein binding`GO:0007165^biological_process^signal transduction	RPACG00000012899.1	TOLL-LIKE RECEPTOR 13	K05398
OG0001462	riftia	.	.	.	RPACG00000012900.1	LEUCINE-RICH REPEAT AND IG DOMAIN-CONTAINING 4A-RELATED	
OG0001462	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0016021^cellular_component^integral component of membrane`GO:0005886^cellular_component^plasma membrane`GO:0050135^molecular_function^NAD(P)+ nucleosidase activity`GO:0061809^molecular_function^NAD+ nucleotidase cyclic ADP-ribose generating`GO:0004888^molecular_function^transmembrane signaling receptor activity`GO:0045087^biological_process^innate immune response`GO:0002224^biological_process^toll-like receptor signaling pathway	GO:0005515^molecular_function^protein binding`GO:0007165^biological_process^signal transduction	RPACG00000025499.1	TOLL-LIKE RECEPTOR 13	
OG0006604	riftia	.	.	.	RPACG00000010974.1	NO HIT
OG0006604	riftia	.	.	.	RPACG00000010975.1	NO HIT
OG0006604	riftia	.	.	.	RPACG00000010976.1	NO HIT
OG0006604	riftia	.	.	.	RPACG00000010977.1	NO HIT
OG0006604	riftia	.	.	.	RPACG00000010978.1	NO HIT
OG0006604	riftia	.	.	.	RPACG00000010979.1	NO HIT
OG0006604	riftia	.	.	.	RPACG00000010980.1	NO HIT
OG0008753	riftia	GO:0016021^cellular_component^integral component of membrane`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0005509^molecular_function^calcium ion binding`GO:0005112^molecular_function^Notch binding`GO:0038023^molecular_function^signaling receptor activity`GO:0001525^biological_process^angiogenesis`GO:0030154^biological_process^cell differentiation`GO:0060271^biological_process^cilium assembly`GO:0061314^biological_process^Notch signaling involved in heart development`GO:0007219^biological_process^Notch signaling pathway`GO:0050793^biological_process^regulation of developmental process`GO:0006355^biological_process^regulation of transcription DNA-templated	GO:0016021^cellular_component^integral component of membrane`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0005509^molecular_function^calcium ion binding`GO:0005112^molecular_function^Notch binding`GO:0038023^molecular_function^signaling receptor activity`GO:0001525^biological_process^angiogenesis`GO:0030154^biological_process^cell differentiation`GO:0060271^biological_process^cilium assembly`GO:0061314^biological_process^Notch signaling involved in heart development`GO:0007219^biological_process^Notch signaling pathway`GO:0050793^biological_process^regulation of developmental process`GO:0006355^biological_process^regulation of transcription DNA-templated	.	RPACG00000017228.1	NOTCH LIGAND FAMILY MEMBER	K02599
OG0008756	riftia	.	.	.	RPACG00000023047.1	NO HIT
OG0008756	riftia	.	.	.	RPACG00000023048.1	SUBFAMILY NOT NAMED	
OG0008756	riftia	.	.	.	RPACG00000023049.1	NO HIT
OG0009650	riftia	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0020037^molecular_function^heme binding	RPACG00000010881.1	BLR2807 PROTEIN	
OG0009650	riftia	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0020037^molecular_function^heme binding	RPACG00000010882.1	BLR2807 PROTEIN	
OG0009650	riftia	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0020037^molecular_function^heme binding	RPACG00000010884.1	BLR2807 PROTEIN	
OG0009650	riftia	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0005576^cellular_component^extracellular region`GO:0005833^cellular_component^hemoglobin complex`GO:0020037^molecular_function^heme binding`GO:0005506^molecular_function^iron ion binding`GO:0019825^molecular_function^oxygen binding`GO:0005344^molecular_function^oxygen carrier activity	GO:0020037^molecular_function^heme binding	RPACG00000010886.1	BLR2807 PROTEIN	
OG0010253	riftia	GO:0005576^cellular_component^extracellular region`GO:0030248^molecular_function^cellulose binding`GO:0031176^molecular_function^endo-1 4-beta-xylanase activity`GO:0045493^biological_process^xylan catabolic process	GO:0005576^cellular_component^extracellular region`GO:0030248^molecular_function^cellulose binding`GO:0031176^molecular_function^endo-1 4-beta-xylanase activity`GO:0045493^biological_process^xylan catabolic process	.	RPACG00000010233.1	EXPORTED SERINE/THREONINE PROTEIN KINASE	
