OG0006611	riftia	.	.	.	RPACG00000033696.1	NO HIT
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity`GO:0016021^cellular_component^integral component of membrane	RPACG00000012554.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity	RPACG00000012556.1	HEPARAN SULFATE 3-O SULFOTRANSFERASE-B ISOFORM A	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity	RPACG00000012658.1	HEPARAN SULFATE 3-O SULFOTRANSFERASE-B ISOFORM A	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity	RPACG00000012659.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity	RPACG00000012660.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity	RPACG00000012661.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity	RPACG00000012662.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity`GO:0016021^cellular_component^integral component of membrane	RPACG00000032894.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
OG0011781	riftia	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0000139^cellular_component^Golgi membrane`GO:0016021^cellular_component^integral component of membrane`GO:0050656^molecular_function^3'-phosphoadenosine 5'-phosphosulfate binding`GO:0008467^molecular_function^[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity`GO:0006024^biological_process^glycosaminoglycan biosynthetic process`GO:0015015^biological_process^heparan sulfate proteoglycan biosynthetic process enzymatic modification`GO:0050819^biological_process^negative regulation of coagulation`GO:0006477^biological_process^protein sulfation`GO:0046596^biological_process^regulation of viral entry into host cell	GO:0008146^molecular_function^sulfotransferase activity`GO:0016021^cellular_component^integral component of membrane	RPACG00000032896.1	HEPARAN SULFATE SULFOTRANSFERASE	K08104
OG0012160	riftia	GO:0005634^cellular_component^nucleus`GO:0000981^molecular_function^DNA-binding transcription factor activity RNA polymerase II-specific`GO:0046872^molecular_function^metal ion binding`GO:0000978^molecular_function^RNA polymerase II cis-regulatory region sequence-specific DNA binding`GO:0006357^biological_process^regulation of transcription by RNA polymerase II	GO:0005634^cellular_component^nucleus`GO:0000981^molecular_function^DNA-binding transcription factor activity RNA polymerase II-specific`GO:0046872^molecular_function^metal ion binding`GO:0000978^molecular_function^RNA polymerase II cis-regulatory region sequence-specific DNA binding`GO:0006357^biological_process^regulation of transcription by RNA polymerase II	GO:0003676^molecular_function^nucleic acid binding	RPACG00000034256.1	ZINC FINGER PROTEIN 235	K09228
OG0012160	riftia	GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046872^molecular_function^metal ion binding	GO:0005634^cellular_component^nucleus`GO:0003677^molecular_function^DNA binding`GO:0046872^molecular_function^metal ion binding	GO:0003676^molecular_function^nucleic acid binding	RPACG00000034257.1	ZINC FINGER AND SCAN DOMAIN-CONTAINING PROTEIN 2	K09228
OG0012177	riftia	.	.	.	RPACG00000007571.1	NO HIT
OG0012177	riftia	.	.	.	RPACG00000010313.1	TUBBY-LIKE F-BOX PROTEIN 6	
OG0012177	riftia	.	.	.	RPACG00000020606.1	NO HIT
OG0012177	riftia	.	.	.	RPACG00000020607.1	NO HIT
OG0012177	riftia	.	.	.	RPACG00000021785.1	NO HIT
OG0012177	riftia	.	.	.	RPACG00000021943.1	RLPA-LIKE DOUBLE-PSI BETA-BARREL DOMAIN-CONTAINING PROTEIN-RELATED	
OG0012177	riftia	.	.	.	RPACG00000021961.1	ZINC FINGER PROTEIN 775	
OG0012177	riftia	.	.	.	RPACG00000024029.1	NO HIT
OG0012177	riftia	.	.	.	RPACG00000024030.1	NO HIT
OG0012177	riftia	.	.	.	RPACG00000026121.1	CANCER/TESTIS ANTIGEN 47B	
OG0012177	riftia	.	.	.	RPACG00000026122.1	NO HIT
OG0012177	riftia	.	.	.	RPACG00000026313.1	RAS-RELATED PROTEIN RAB-11B	
OG0012177	riftia	.	.	.	RPACG00000035187.1	NO HIT
OG0012616	riftia	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0016020^cellular_component^membrane`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0019899^molecular_function^enzyme binding`GO:0003950^molecular_function^NAD+ ADP-ribosyltransferase activity`GO:0070403^molecular_function^NAD+ binding`GO:1990404^molecular_function^protein ADP-ribosylase activity`GO:0003714^molecular_function^transcription corepressor activity`GO:0045087^biological_process^innate immune response`GO:0010629^biological_process^negative regulation of gene expression`GO:0060336^biological_process^negative regulation of interferon-gamma-mediated signaling pathway`GO:0042532^biological_process^negative regulation of tyrosine phosphorylation of STAT protein`GO:1902216^biological_process^positive regulation of interleukin-4-mediated signaling pathway`GO:0042531^biological_process^positive regulation of tyrosine phosphorylation of STAT protein`GO:0006471^biological_process^protein ADP-ribosylation`GO:0140289^biological_process^protein mono-ADP-ribosylation`GO:0070212^biological_process^protein poly-ADP-ribosylation	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0016020^cellular_component^membrane`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0019899^molecular_function^enzyme binding`GO:0003950^molecular_function^NAD+ ADP-ribosyltransferase activity`GO:0070403^molecular_function^NAD+ binding`GO:1990404^molecular_function^protein ADP-ribosylase activity`GO:0003714^molecular_function^transcription corepressor activity`GO:0045087^biological_process^innate immune response`GO:0010629^biological_process^negative regulation of gene expression`GO:0060336^biological_process^negative regulation of interferon-gamma-mediated signaling pathway`GO:0042532^biological_process^negative regulation of tyrosine phosphorylation of STAT protein`GO:1902216^biological_process^positive regulation of interleukin-4-mediated signaling pathway`GO:0042531^biological_process^positive regulation of tyrosine phosphorylation of STAT protein`GO:0006471^biological_process^protein ADP-ribosylation`GO:0140289^biological_process^protein mono-ADP-ribosylation`GO:0070212^biological_process^protein poly-ADP-ribosylation	GO:0003950^molecular_function^NAD+ ADP-ribosyltransferase activity	RPACG00000033694.1	PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP15	
OG0012616	riftia	.	.	.	RPACG00000033695.1	INTERFERON-INDUCED PROTEIN 35/NMI N-MYC/STAT INTERACTING PROTEIN	
OG0012616	riftia	.	.	.	RPACG00000033697.1	PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP14	K15261
OG0012616	riftia	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0016020^cellular_component^membrane`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0019899^molecular_function^enzyme binding`GO:0003950^molecular_function^NAD+ ADP-ribosyltransferase activity`GO:0070403^molecular_function^NAD+ binding`GO:1990404^molecular_function^protein ADP-ribosylase activity`GO:0003714^molecular_function^transcription corepressor activity`GO:0045087^biological_process^innate immune response`GO:0010629^biological_process^negative regulation of gene expression`GO:0060336^biological_process^negative regulation of interferon-gamma-mediated signaling pathway`GO:0042532^biological_process^negative regulation of tyrosine phosphorylation of STAT protein`GO:1902216^biological_process^positive regulation of interleukin-4-mediated signaling pathway`GO:0042531^biological_process^positive regulation of tyrosine phosphorylation of STAT protein`GO:0006471^biological_process^protein ADP-ribosylation`GO:0140289^biological_process^protein mono-ADP-ribosylation`GO:0070212^biological_process^protein poly-ADP-ribosylation	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0016020^cellular_component^membrane`GO:0005634^cellular_component^nucleus`GO:0005886^cellular_component^plasma membrane`GO:0019899^molecular_function^enzyme binding`GO:0003950^molecular_function^NAD+ ADP-ribosyltransferase activity`GO:0070403^molecular_function^NAD+ binding`GO:1990404^molecular_function^protein ADP-ribosylase activity`GO:0003714^molecular_function^transcription corepressor activity`GO:0045087^biological_process^innate immune response`GO:0010629^biological_process^negative regulation of gene expression`GO:0060336^biological_process^negative regulation of interferon-gamma-mediated signaling pathway`GO:0042532^biological_process^negative regulation of tyrosine phosphorylation of STAT protein`GO:1902216^biological_process^positive regulation of interleukin-4-mediated signaling pathway`GO:0042531^biological_process^positive regulation of tyrosine phosphorylation of STAT protein`GO:0006471^biological_process^protein ADP-ribosylation`GO:0140289^biological_process^protein mono-ADP-ribosylation`GO:0070212^biological_process^protein poly-ADP-ribosylation	GO:0003950^molecular_function^NAD+ ADP-ribosyltransferase activity	RPACG00000033698.1	PARP/ZINC FINGER CCCH TYPE DOMAIN CONTAINING PROTEIN	K15261
