Orthogroup	Species	GO_term1	GO_term2	GO_term3	gene_ID	Panther_annotation	KEGG_number
OG0000555	riftia	.	.	.	RPACG00000036063.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036066.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036068.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036072.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036073.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036074.1	SUBFAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036081.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036082.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036083.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036084.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036085.1	FAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036086.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036087.1	SUBFAMILY NOT NAMED	
OG0000555	riftia	.	.	.	RPACG00000036089.1	OS03G0108700 PROTEIN	
OG0000555	riftia	.	.	.	RPACG00000036092.1	NO HIT
OG0000555	riftia	.	.	.	RPACG00000036094.1	OS03G0108700 PROTEIN	
OG0001088	riftia	.	.	.	RPACG00000018211.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018212.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018214.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018215.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018217.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018218.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018220.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018221.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018223.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018226.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018228.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018231.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018233.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018236.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018238.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018240.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018243.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018245.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018246.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018248.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018251.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018253.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018254.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018257.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018259.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018260.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018262.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018263.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018265.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018266.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018267.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018269.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018270.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018271.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018272.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018273.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018274.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018275.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018276.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018693.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018697.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018698.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018707.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018715.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018718.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000018720.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031882.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031883.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031885.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031888.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031889.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031891.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031894.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031897.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031898.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031900.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031901.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031903.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031907.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031912.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031915.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031917.1	NO HIT
OG0001088	riftia	.	.	.	RPACG00000031920.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000017769.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000017776.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000017780.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000017781.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000019977.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000019978.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000019982.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000019987.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000019988.1	SMALL AUXIN-UP RNA-RELATED	
OG0001465	riftia	.	.	.	RPACG00000019989.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000019993.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000019998.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000020001.1	OS08G0485900 PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000020011.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000020016.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000020039.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000020040.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000020043.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000020044.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000020047.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000020054.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000032590.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000032593.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000032595.1	UNCHARACTERIZED	
OG0001465	riftia	.	.	.	RPACG00000032597.1	UNCHARACTERIZED	
OG0001465	riftia	.	.	.	RPACG00000032600.1	UNCHARACTERIZED	
OG0001465	riftia	.	.	.	RPACG00000032602.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000032605.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000032610.1	SMALL AUXIN-UP RNA-RELATED	
OG0001465	riftia	.	.	.	RPACG00000032612.1	OS07G0564200 PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000032623.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000032625.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000036266.1	RAS-LIKE PROTEIN FAMILY MEMBER 11A-LIKE	
OG0001465	riftia	.	.	.	RPACG00000036267.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000036268.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000036269.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000036273.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036274.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036278.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036279.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036282.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000036284.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000036287.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000036288.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036289.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036292.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000036301.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000036303.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000036310.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000036313.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036315.1	NO HIT
OG0001465	riftia	.	.	.	RPACG00000036319.1	INTEGRAL MEMBRANE PROTEIN	
OG0001465	riftia	.	.	.	RPACG00000036322.1	SUBFAMILY NOT NAMED	
OG0001465	riftia	.	.	.	RPACG00000036323.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000017759.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000017763.1	INTEGRAL MEMBRANE PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000017765.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000017767.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000017771.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000017778.1	PPM-TYPE PHOSPHATASE DOMAIN PROTEIN PHOSPHATASE 2C FAMILY-RELATED	
OG0002343	riftia	.	.	.	RPACG00000019976.1	SSL5025 PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000019980.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000019985.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000019991.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000019994.1	OS08G0485900 PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000019996.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000020000.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000020014.1	SSL5025 PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000020046.1	SUBFAMILY NOT NAMED	
OG0002343	riftia	.	.	.	RPACG00000020049.1	SUBFAMILY NOT NAMED	
OG0002343	riftia	.	.	.	RPACG00000032608.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032609.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032615.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032616.1	OS08G0485900 PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000032617.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032619.1	OS08G0485900 PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000032620.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032621.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032622.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032624.1	EMB|CAB89363.1	
OG0002343	riftia	.	.	.	RPACG00000032627.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032628.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032629.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032630.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000032631.1	OS08G0485900 PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000036270.1	BNAANNG11150D PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000036271.1	SUBFAMILY NOT NAMED	
OG0002343	riftia	.	.	.	RPACG00000036283.1	OS08G0485900 PROTEIN	
OG0002343	riftia	.	.	.	RPACG00000036285.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000036295.1	SERINE AND ARGININE RICH SPLICING FACTOR 8	
OG0002343	riftia	.	.	.	RPACG00000036298.1	SUBFAMILY NOT NAMED	
OG0002343	riftia	.	.	.	RPACG00000036302.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000036306.1	SUBFAMILY NOT NAMED	
OG0002343	riftia	.	.	.	RPACG00000036307.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000036314.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000036316.1	NO HIT
OG0002343	riftia	.	.	.	RPACG00000036326.1	NO HIT
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016815.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016816.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016817.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016818.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016819.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016821.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016824.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016825.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000016826.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034163.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034164.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034165.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034169.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034170.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034173.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034176.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034178.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034181.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034183.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034186.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034190.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034192.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034681.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034683.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034684.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034686.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034687.1	EXTENSIN-2-LIKE	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034688.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034690.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034692.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034693.1	EXTENSIN-2-LIKE	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034694.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034696.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034699.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034703.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034704.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034707.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034712.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034714.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034716.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034717.1	SUBFAMILY NOT NAMED	
OG0002459	riftia	GO:0005576^cellular_component^extracellular region	GO:0005576^cellular_component^extracellular region	.	RPACG00000034721.1	SUBFAMILY NOT NAMED	
OG0002604	riftia	.	.	.	RPACG00000012596.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012597.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012598.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012599.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012600.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012601.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012602.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012603.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012604.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012605.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012606.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012607.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012608.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012609.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012610.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012611.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012612.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012613.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012614.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012616.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012617.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000012619.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000019015.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000019016.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000019017.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000019018.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000019019.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000019020.1	NO HIT
OG0002604	riftia	.	.	.	RPACG00000019021.1	NO HIT
