Orthogroup	Panther_annotation
OG0049779	 NO HIT
OG0049780	 SUBFAMILY NOT NAMED
OG0049781	 RIBOSOMAL PROTEIN S4-RELATED
OG0049786	 NO HIT
OG0049787	 SI:CH73-281K2.5
OG0049788	 NO HIT
OG0049790	 NO HIT
OG0049791	 SUBFAMILY NOT NAMED
OG0049792	 COLLAGEN ALPHA-2(IX) CHAIN
OG0049793	 NO HIT
OG0049794	 NO HIT
OG0049795	 NO HIT
OG0049797	 NO HIT
OG0049798	 NO HIT
OG0049799	 NO HIT
OG0049800	 MUCIN-7
OG0049801	 MUCIN-7
OG0049802	 OVIDUCT-SPECIFIC GLYCOPROTEIN
OG0049803	 FAMILY NOT NAMED
OG0049808	 PROTEIN CBR-MLT-10
OG0049809	 NO HIT
OG0049810	 NO HIT
OG0049811	 NO HIT
OG0049812	 PAIRED IMMUNOGLOBULIN-LIKE TYPE 2 RECEPTOR
OG0049813	 NO HIT
OG0049814	 SUBFAMILY NOT NAMED
OG0049815	 NO HIT
OG0049816	 ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 13
OG0049817	 NO HIT
OG0049818	 NO HIT
OG0049819	 NO HIT
OG0049820	 NO HIT
OG0049821	 VITELLINE MEMBRANE PROTEIN VM26AB-RELATED
OG0049822	 SUBFAMILY NOT NAMED
OG0049823	 SUBFAMILY NOT NAMED
OG0049824	 SERINE/THREONINE-PROTEIN KINASE ACTIVE SITE
OG0049826	 EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE EIF2-ALPHA KINASE -RELATED
OG0049827	 U2 SMALL NUCLEAR RIBONUCLEOPROTEIN AUXILIARY FACTOR 35 KDA SUBUNIT-RELATED PROTEIN 2
OG0049828	 SUBFAMILY NOT NAMED
OG0049830	 NO HIT
OG0049832	 FI23944P1-RELATED
OG0049833	 SUBFAMILY NOT NAMED
OG0049834	 SUBFAMILY NOT NAMED
OG0049835	 NO HIT
OG0049836	 NO HIT
OG0049837	 ZINC FINGER PROTEIN 729-LIKE
OG0049838	 NO HIT
OG0049839	 TOLA PROTEIN
OG0049841	 ADAMTS FAMILY
OG0049843	 NO HIT
OG0049844	 NO HIT
OG0049846	 VITELLOGENIN RECEPTOR-LIKE PROTEIN-RELATED-RELATED
OG0049848	 NO HIT
OG0049849	 SUBFAMILY NOT NAMED
OG0049850	 SUBFAMILY NOT NAMED
OG0049851	 PROTEIN CBG17025
OG0049852	 SUBFAMILY NOT NAMED
OG0049853	 NO HIT
OG0049854	 NO HIT
OG0049855	 VWFA AND CACHE DOMAIN-CONTAINING PROTEIN 1
OG0049856	 NO HIT
OG0049857	 SUBFAMILY NOT NAMED
OG0049858	 NO HIT
OG0049859	 NO HIT
OG0049860	 NO HIT
OG0049862	 SUBFAMILY NOT NAMED
OG0049863	 SUBFAMILY NOT NAMED
OG0049864	 NO HIT
OG0049865	 TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 6
OG0049866	 SUBFAMILY NOT NAMED
OG0049869	 OLEOSIN
OG0049870	 KHDC3-LIKE PROTEIN
OG0049872	 NO HIT
OG0049873	 NO HIT
OG0049874	 SUBFAMILY NOT NAMED
OG0049876	 SUBFAMILY NOT NAMED
OG0049878	 NAZO FAMILY MEMBER
OG0049879	 NO HIT
OG0049880	 NO HIT
OG0049881	 NO HIT
OG0049882	 ALDEHYDE OXIDASE
OG0049883	 UNCHARACTERIZED
OG0049884	 NO HIT
OG0049885	 SUBFAMILY NOT NAMED
OG0049886	 NO HIT
OG0049887	 NO HIT
OG0049888	 SUBFAMILY NOT NAMED
OG0049889	 SUBFAMILY NOT NAMED
OG0049890	 SUBFAMILY NOT NAMED
OG0049892	 SUBFAMILY NOT NAMED
OG0049893	 NO HIT
OG0049894	 RESPIRATORY NITRATE REDUCTASE 1 BETA CHAIN
OG0049895	 TETRANECTIN-RELATED
OG0049896	 NO HIT
OG0049897	 BAG FAMILY MOLECULAR CHAPERONE REGULATOR 4-LIKE ISOFORM X1
OG0049898	 SUBFAMILY NOT NAMED
OG0049899	 ACTIVATING SIGNAL COINTEGRATOR 1
OG0049900	 OS05G0417500 PROTEIN
OG0049901	 ANTITHROMBIN-III
OG0049903	 NO HIT
OG0049905	 NO HIT
OG0049908	 SUBFAMILY NOT NAMED
OG0049909	 FAMILY NOT NAMED
OG0049910	 SUBFAMILY NOT NAMED
OG0049911	 NO HIT
OG0049917	 SI:CABZ01040626.2-RELATED
OG0049918	 NO HIT
OG0049919	 NO HIT
OG0049921	 KELCH PROTEIN
OG0049922	 SUBFAMILY NOT NAMED
OG0049923	 NO HIT
OG0049924	 NO HIT
OG0049926	 SI:DKEY-19B23.12-RELATED
OG0049928	 NO HIT
OG0049929	 NO HIT
OG0049930	 OVOCHYMASE 1
OG0049931	 SUBFAMILY NOT NAMED
OG0049932	 USHERIN
OG0049933	 NO HIT
OG0049934	 USHERIN
OG0049935	 NO HIT
OG0049937	 NO HIT
OG0049938	 SUBFAMILY NOT NAMED
OG0049939	 NO HIT
OG0049940	 NO HIT
OG0049941	 NO HIT
OG0049944	 BACTERIOHEMERYTHRIN
OG0049948	 NO HIT
OG0049949	 NO HIT
OG0049950	 NO HIT
OG0049951	 COLLAGEN TYPE VI ALPHA 4A
OG0049952	 NO HIT
OG0049953	 SMALL EDRK-RICH FACTOR 2-LIKE
OG0049954	 RECEPTOR-LIKE CYTOPLASMIC KINASE 185
OG0049957	 NO HIT
OG0049958	 SUBFAMILY NOT NAMED
OG0049962	 SUBFAMILY NOT NAMED
OG0049963	 NO HIT
OG0049965	 PROTEIN CBG12054-RELATED
OG0049966	 NO HIT
OG0049967	 MULTIPLE EPIDERMAL GROWTH FACTOR-LIKE DOMAINS PROTEIN 6
OG0049968	 NO HIT
OG0049969	 NO HIT
OG0049972	 SI:CH211-39A7.1
OG0049973	 NACHT LRR AND PYD DOMAINS-CONTAINING PROTEIN 14
OG0049974	 VON WILLEBRAND FACTOR D AND EGF DOMAIN-CONTAINING PROTEIN
OG0049975	 NO HIT
OG0049976	 NO HIT
OG0049977	 ZINC FINGER PROTEIN 512B
OG0049979	 NO HIT
OG0049980	 NO HIT
OG0049981	 NO HIT
OG0049985	 NO HIT
OG0049986	 NO HIT
OG0049990	 NO HIT
OG0049991	 NO HIT
OG0049992	 SUBFAMILY NOT NAMED
OG0049993	 RNA-BINDING REGION RNP-1 DOMAIN-CONTAINING PROTEIN
OG0049994	 WSCD FAMILY MEMBER CG9164
OG0049995	 NO HIT
OG0049998	 NO HIT
OG0050000	 X-BOX PROMOTER ELEMENT REGULATED
OG0050003	 SUBFAMILY NOT NAMED
OG0050004	 SYNTHASE PUTATIVE (AFU_ORTHOLOGUE AFUA_7G04190)-RELATED
OG0050005	 NO HIT
OG0050006	 SUBFAMILY NOT NAMED
OG0050007	 NO HIT
OG0050008	 FAMILY NOT NAMED
OG0050009	 NO HIT
OG0050012	 NO HIT
OG0050017	 NO HIT
OG0050019	 GRIP AND COILED-COIL DOMAIN-CONTAINING PROTEIN PFC0235W
OG0050020	 ATP-DEPENDENT DNA HELICASE
OG0050021	 NO HIT
OG0050022	 NO HIT
OG0050023	 GEO02292P1-RELATED
OG0050024	 SUBFAMILY NOT NAMED
OG0050025	 SUBFAMILY NOT NAMED
OG0050026	 NO HIT
OG0050027	 SUBFAMILY NOT NAMED
OG0050028	 NO HIT
OG0050030	 SUBFAMILY NOT NAMED
OG0050031	 FAMILY NOT NAMED
OG0050032	 SUBFAMILY NOT NAMED
OG0050033	 SUBFAMILY NOT NAMED
OG0050035	 NO HIT
OG0050036	 NO HIT
OG0050037	 NO HIT
OG0050038	 PROTEIN LIN-12
OG0050041	 NOTCH LIGAND FAMILY MEMBER
OG0050042	 NO HIT
OG0050045	 NO HIT
OG0050047	 NO HIT
OG0050048	 NO HIT
OG0050049	 NO HIT
OG0050051	 NO HIT
OG0050052	 NUCLEOTIDYLTRANSFERASE
OG0050054	 FI09734P-RELATED
OG0050057	 NO HIT
OG0050060	 SUBFAMILY NOT NAMED
OG0050061	 NO HIT
OG0050063	 NO HIT
OG0050065	 NO HIT
OG0050066	 NO HIT
OG0050067	 SUBFAMILY NOT NAMED
OG0050069	 NO HIT
OG0050070	 SUBFAMILY NOT NAMED
OG0050071	 NO HIT
OG0050072	 NO HIT
OG0050073	 SUBFAMILY NOT NAMED
OG0050074	 SUBFAMILY NOT NAMED
OG0050075	 NO HIT
OG0050082	 SUBFAMILY NOT NAMED
OG0050084	 SUBFAMILY NOT NAMED
OG0050086	 NO HIT
OG0050087	 NO HIT
OG0050088	 SUBFAMILY NOT NAMED
OG0050089	 FAMILY NOT NAMED
OG0050090	 SUBFAMILY NOT NAMED
OG0050091	 SUBFAMILY NOT NAMED
OG0050092	 CARBOHYDRATE SULFOTRANSFERASE
OG0050097	 SUBFAMILY NOT NAMED
OG0050098	 VON WILLEBRAND FACTOR D AND EGF DOMAIN-CONTAINING PROTEIN
OG0050099	 PROTEIN CBG08811
OG0050101	 NO HIT
OG0050103	 PAXILLIN ISOFORM F
OG0050105	 SUBFAMILY NOT NAMED
OG0050106	 NO HIT
OG0050109	 NO HIT
OG0050110	 PENTRAXIN
OG0050112	 PROTEIN SSX4
OG0050113	 SUBFAMILY NOT NAMED
OG0050114	 SUBFAMILY NOT NAMED
OG0050116	 NO HIT
OG0050117	 NO HIT
OG0050118	 RT07201P-RELATED
OG0050119	 CYTOCHROME B6-F COMPLEX SUBUNIT 5
OG0050120	 NO HIT
OG0050122	 NO HIT
OG0050126	 SUBFAMILY NOT NAMED
OG0050127	 NO HIT
OG0050128	 OPTOMOTOR-BLIND PROTEIN
OG0050129	 NO HIT
OG0050130	 NO HIT
OG0050131	 NO HIT
OG0050132	 RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1
OG0050133	 NO HIT
OG0050134	 PROTEIN CBG12054-RELATED
OG0050135	 NO HIT
OG0050136	 SUBFAMILY NOT NAMED
OG0050138	 SERINE PROTEASE INHIBITOR KAZAL-TYPE 14
OG0050140	 NO HIT
OG0050141	 NO HIT
OG0050142	 PROTEIN CBG17025
OG0050144	 XK-RELATED PROTEIN
OG0050146	 SUBFAMILY NOT NAMED
OG0050148	 NO HIT
OG0050149	 BNAC09G36140D PROTEIN
OG0050150	 NO HIT
OG0050151	 BNAC04G49950D PROTEIN
OG0050154	 SUBFAMILY NOT NAMED
OG0050155	 DROSOPHILA CRUMBS HOMOLOG
OG0050156	 SUBFAMILY NOT NAMED
OG0050157	 PROTEIN LIN-12
OG0050158	 COILED COIL DOMAIN-CONTAINING PROTEIN 8 CCDC8
OG0050159	 NO HIT
OG0050160	 NO HIT
OG0050163	 HEPARAN SULFATE 3-O SULFOTRANSFERASE-B ISOFORM A
OG0050165	 SUBFAMILY NOT NAMED
OG0050167	 RGD1565685 PROTEIN
OG0050168	 SUBFAMILY NOT NAMED
OG0050169	 NO HIT
OG0050172	 TRANSPORTER
OG0050173	 NO HIT
OG0050174	 NO HIT
OG0050175	 NO HIT
OG0050176	 SD08549P
OG0050177	 NO HIT
OG0050178	 SUBFAMILY NOT NAMED
OG0050179	 GLYCINE/PROLINE-RICH PROTEIN
OG0050180	 NO HIT
OG0050181	 SI:DKEY-183I3.5
OG0050182	 SUBFAMILY NOT NAMED
OG0050183	 SUBFAMILY NOT NAMED
OG0050185	 NO HIT
OG0050187	 NO HIT
OG0050188	 TENASCIN
OG0050190	 BNAA01G35380D PROTEIN
OG0050191	 OPSIN
OG0050192	 NO HIT
OG0050197	 SUBFAMILY NOT NAMED
OG0050198	 NO HIT
OG0050199	 RNA-BINDING PROTEIN 38-LIKE ISOFORM X1
OG0050207	 NO HIT
OG0050208	 SUBFAMILY NOT NAMED
OG0050211	 NO HIT
OG0050213	 LRRGT00142-RELATED
OG0050215	 NO HIT
OG0050218	 PLASTID-LIPID-ASSOCIATED PROTEIN 13 CHLOROPLASTIC-RELATED
OG0050219	 PROTEIN LURP-ONE-RELATED 1-RELATED
OG0050220	 NO HIT
OG0050225	 NO HIT
OG0050226	 NO HIT
OG0050227	 NO HIT
OG0050229	 GALACTOSIDE 2-L-FUCOSYLTRANSFERASE
OG0050233	 SUBFAMILY NOT NAMED
OG0050234	 NO HIT
OG0050235	 NO HIT
OG0050237	 SUBFAMILY NOT NAMED
OG0050238	 NO HIT
OG0050240	 NO HIT
OG0050241	 TRANSDUCIN FAMILY PROTEIN / WD-40 REPEAT FAMILY PROTEIN
OG0050242	 SUBFAMILY NOT NAMED
OG0050244	 NO HIT
OG0050247	 OS07G0574500 PROTEIN
OG0050248	 SUBFAMILY NOT NAMED
OG0050249	 NO HIT
OG0050250	 NO HIT
OG0050251	 NO HIT
OG0050252	 CHITINASE
OG0050253	 NO HIT
OG0050255	 NOTCH LIGAND FAMILY MEMBER
OG0050256	 FAMILY NOT NAMED
OG0050257	 60S ACIDIC RIBOSOMAL PROTEIN P0
OG0050259	 NO HIT
OG0050260	 PROTEIN CBG17854
OG0050261	 NO HIT
OG0050262	 SLL1446 PROTEIN
OG0050263	 UNCHARACTERIZED
OG0050265	 SECRETORY PHOSPHOLIPASE A2 RECEPTOR
OG0050268	 NO HIT
OG0050271	 NO HIT
OG0050272	 NO HIT
OG0050273	 SUBFAMILY NOT NAMED
OG0050274	 NO HIT
OG0050275	 NO HIT
OG0050276	 NO HIT
OG0050278	 NO HIT
OG0050279	 NO HIT
OG0050282	 NO HIT
OG0050283	 SUBFAMILY NOT NAMED
OG0050284	 SUBFAMILY NOT NAMED
OG0050285	 TETRASPANIN
OG0050287	 COLLAGEN TRIPLE HELIX REPEAT
OG0050288	 SUBFAMILY NOT NAMED
OG0050289	 NO HIT
OG0050290	 TYROSINE SPECIFIC PROTEIN PHOSPHATASE-LIKE
OG0050291	 SUBFAMILY NOT NAMED
OG0050292	 NO HIT
OG0050293	 NO HIT
OG0050294	 NO HIT
OG0050295	 SUBFAMILY NOT NAMED
OG0050296	 SUBFAMILY NOT NAMED
OG0050297	 RE53262P
OG0050299	 NO HIT
OG0050300	 NO HIT
OG0050301	 SUBFAMILY NOT NAMED
OG0050302	 SPERM-SPECIFIC FAMILY CLASS Q
OG0050304	 SUBFAMILY NOT NAMED
OG0050305	 SUBFAMILY NOT NAMED
OG0050306	 SUBFAMILY NOT NAMED
OG0050307	 SUBFAMILY NOT NAMED
OG0050308	 SUBFAMILY NOT NAMED
OG0050311	 ARMADILLO-TYPE FOLD-RELATED
OG0050313	 NO HIT
OG0050314	 ZINC FINGER PROTEIN 729-LIKE
OG0050317	 NO HIT
OG0050320	 URICASE
OG0050321	 NO HIT
OG0050322	 RESOLVASE-RELATED
OG0050323	 NO HIT
OG0050324	 HEXOSYLTRANSFERASE
OG0050326	 NO HIT
OG0050327	 NO HIT
OG0050330	 NO HIT
OG0050332	 SUBFAMILY NOT NAMED
OG0050333	 OTOGELIN
OG0050334	 SUBFAMILY NOT NAMED
OG0050335	 PROTEIN CBG20215-RELATED
OG0050336	 NO HIT
OG0050338	 NO HIT
OG0050339	 FAMILY NOT NAMED
OG0050340	 NO HIT
OG0050343	 NO HIT
OG0050344	 SUBFAMILY NOT NAMED
OG0050346	 NO HIT
OG0050347	 GEO10309P1-RELATED
OG0050348	 SODIUM-DEPENDENT GLUCOSE TRANSPORTER 1
OG0050349	 NO HIT
