OG0000167	Pech|nbis-mrna-18169
OG0004246	Pech|nbis-mrna-10260, Pech|nbis-mrna-12812, Pech|nbis-mrna-13380, Pech|nbis-mrna-13700, Pech|nbis-mrna-14532, Pech|nbis-mrna-14768, Pech|nbis-mrna-15595, Pech|nbis-mrna-17105, Pech|nbis-mrna-18220, Pech|nbis-mrna-18372, Pech|nbis-mrna-20396, Pech|nbis-mrna-20397, Pech|nbis-mrna-21129, Pech|nbis-mrna-21521, Pech|nbis-mrna-22106, Pech|nbis-mrna-4086, Pech|nbis-mrna-4528, Pech|nbis-mrna-4653, Pech|nbis-mrna-5475, Pech|nbis-mrna-5647, Pech|nbis-mrna-5819, Pech|nbis-mrna-6534, Pech|nbis-mrna-6632, Pech|nbis-mrna-9322
OG0004258	
OG0004269	Pech|nbis-mrna-21147
OG0004337	Pech|nbis-mrna-14546
OG0004344	Pech|nbis-mrna-36, Pech|nbis-mrna-8446
OG0004499	Pech|nbis-mrna-18764, Pech|nbis-mrna-19982, Pech|nbis-mrna-6065, Pech|nbis-mrna-8634
OG0004636	Pech|nbis-mrna-5500
OG0004800	Pech|nbis-mrna-9849
OG0004829	Pech|nbis-mrna-8867
OG0004901	
OG0004940	Pech|nbis-mrna-277
OG0004950	
OG0004971	Pech|nbis-mrna-14915, Pech|nbis-mrna-8366
OG0005017	Pech|nbis-mrna-21362, Pech|nbis-mrna-3630
OG0005041	
OG0005057	Pech|nbis-mrna-11153
OG0005262	Pech|nbis-mrna-2536
OG0005290	
OG0005574	Pech|nbis-mrna-13784
OG0005607	Pech|nbis-mrna-20003, Pech|nbis-mrna-9200
OG0005837	Pech|nbis-mrna-15041, Pech|nbis-mrna-7208
OG0005899	Pech|nbis-mrna-15584
OG0006112	Pech|nbis-mrna-10904, Pech|nbis-mrna-15786, Pech|nbis-mrna-22003, Pech|nbis-mrna-3961, Pech|nbis-mrna-67, Pech|nbis-mrna-9907
OG0006114	
OG0006125	Pech|nbis-mrna-4143
OG0006159	
OG0006162	
OG0006167	Pech|nbis-mrna-2374
OG0006174	Pech|nbis-mrna-15216, Pech|nbis-mrna-6288
OG0006181	
OG0006212	Pech|nbis-mrna-12005, Pech|nbis-mrna-16092
OG0006225	
OG0006384	Pech|nbis-mrna-966
OG0006443	Pech|nbis-mrna-3287
OG0006446	
OG0006476	Pech|nbis-mrna-11711
OG0006511	Pech|nbis-mrna-6563
OG0006595	
OG0006690	Pech|nbis-mrna-15550
OG0006805	Pech|nbis-mrna-19142
OG0006828	Pech|nbis-mrna-18171
OG0006996	Pech|nbis-mrna-10735
OG0007024	Pech|nbis-mrna-12203
OG0007078	Pech|nbis-mrna-6137
OG0007086	Pech|nbis-mrna-1543, Pech|nbis-mrna-16292, Pech|nbis-mrna-17263, Pech|nbis-mrna-17360, Pech|nbis-mrna-22029, Pech|nbis-mrna-4453, Pech|nbis-mrna-6893
OG0007103	Pech|nbis-mrna-13704, Pech|nbis-mrna-18177
OG0007173	
OG0007281	
OG0007466	Pech|nbis-mrna-2790
OG0007468	Pech|nbis-mrna-5721
OG0007562	
OG0007596	
OG0007720	
OG0007757	Pech|nbis-mrna-4345
OG0007815	Pech|nbis-mrna-9840
OG0008049	Pech|nbis-mrna-14853
OG0008063	
OG0008105	Pech|nbis-mrna-15007
OG0008150	
OG0008313	Pech|nbis-mrna-872
OG0008335	
OG0008386	
OG0008388	Pech|nbis-mrna-19445, Pech|nbis-mrna-8578, Pech|nbis-mrna-8580
OG0008404	Pech|nbis-mrna-1105, Pech|nbis-mrna-12414, Pech|nbis-mrna-12440, Pech|nbis-mrna-12745, Pech|nbis-mrna-1385, Pech|nbis-mrna-13937, Pech|nbis-mrna-15332, Pech|nbis-mrna-15983, Pech|nbis-mrna-16980, Pech|nbis-mrna-20629, Pech|nbis-mrna-21513, Pech|nbis-mrna-21871, Pech|nbis-mrna-22233, Pech|nbis-mrna-4382, Pech|nbis-mrna-4529, Pech|nbis-mrna-4896, Pech|nbis-mrna-4923, Pech|nbis-mrna-5527, Pech|nbis-mrna-5674, Pech|nbis-mrna-7809, Pech|nbis-mrna-8013, Pech|nbis-mrna-8191, Pech|nbis-mrna-8801, Pech|nbis-mrna-9120, Pech|nbis-mrna-9687
OG0008431	
OG0008467	Pech|nbis-mrna-18443
OG0008485	
OG0008523	Pech|nbis-mrna-21580
OG0008535	Pech|nbis-mrna-12938
OG0008567	
OG0008572	
OG0008604	
OG0008627	Pech|nbis-mrna-20437
OG0008675	Pech|nbis-mrna-4085
OG0008841	Pech|nbis-mrna-12940
OG0008842	
OG0008857	
OG0008883	Pech|nbis-mrna-20473
OG0008890	Pech|nbis-mrna-1215
OG0008921	Pech|nbis-mrna-17424
OG0008944	Pech|nbis-mrna-17986
OG0008950	
OG0008970	Pech|nbis-mrna-20524
OG0008996	
OG0009006	Pech|nbis-mrna-15410
OG0009019	
OG0009053	
OG0009079	
OG0009121	
OG0009149	
OG0009156	Pech|nbis-mrna-4553
OG0009271	Pech|nbis-mrna-17612
OG0009287	
OG0009295	Pech|nbis-mrna-14594
OG0009343	
OG0009344	
OG0009393	Pech|nbis-mrna-13952, Pech|nbis-mrna-16935, Pech|nbis-mrna-3053
OG0009428	Pech|nbis-mrna-2727
OG0009443	Pech|nbis-mrna-3183
OG0009541	Pech|nbis-mrna-14805
OG0009544	
OG0009686	
OG0009730	
OG0009749	Pech|nbis-mrna-16401
OG0009822	Pech|nbis-mrna-10016
OG0009832	Pech|nbis-mrna-21436
OG0009834	Pech|nbis-mrna-18578
OG0009854	
OG0009915	Pech|nbis-mrna-401
OG0009941	
OG0009952	
OG0010020	Pech|nbis-mrna-8428
OG0010023	Pech|nbis-mrna-13403
OG0010035	Pech|nbis-mrna-4030
OG0010037	
OG0010093	Pech|nbis-mrna-20632
OG0010098	Pech|nbis-mrna-6627
OG0010101	Pech|nbis-mrna-6499
OG0010104	Pech|nbis-mrna-21458
OG0010106	Pech|nbis-mrna-6180
OG0010113	
OG0010123	
OG0010125	Pech|nbis-mrna-12874
OG0010128	
OG0010188	
OG0010189	Pech|nbis-mrna-22016
OG0010199	Pech|nbis-mrna-21847
OG0010203	
OG0010215	
OG0010306	Pech|nbis-mrna-9979
OG0010312	
OG0010331	Pech|nbis-mrna-8442
OG0010352	
OG0010368	Pech|nbis-mrna-9824
OG0010382	Pech|nbis-mrna-8986
OG0010394	Pech|nbis-mrna-1556
OG0010443	
OG0010449	
OG0010450	Pech|nbis-mrna-4545, Pech|nbis-mrna-8671
OG0010472	Pech|nbis-mrna-22165
OG0010477	
OG0010496	
OG0010587	Pech|nbis-mrna-20175, Pech|nbis-mrna-21423
OG0010588	Pech|nbis-mrna-16813
OG0010597	
OG0010598	Pech|nbis-mrna-10376
OG0010633	
OG0010660	
OG0010674	Pech|nbis-mrna-3003
OG0010692	Pech|nbis-mrna-21426
OG0010708	
OG0010734	Pech|nbis-mrna-15950
OG0010736	Pech|nbis-mrna-4380
OG0010742	Pech|nbis-mrna-4512
OG0010759	
OG0010807	
OG0010838	Pech|nbis-mrna-18316
OG0010885	Pech|nbis-mrna-3862
OG0010923	Pech|nbis-mrna-1109, Pech|nbis-mrna-11498, Pech|nbis-mrna-12665, Pech|nbis-mrna-12710, Pech|nbis-mrna-13433, Pech|nbis-mrna-14882, Pech|nbis-mrna-17144, Pech|nbis-mrna-18888, Pech|nbis-mrna-20019, Pech|nbis-mrna-21582, Pech|nbis-mrna-22051, Pech|nbis-mrna-2728, Pech|nbis-mrna-296, Pech|nbis-mrna-384, Pech|nbis-mrna-471, Pech|nbis-mrna-7519
OG0010959	Pech|nbis-mrna-20857
OG0010961	
OG0010987	Pech|nbis-mrna-5575
OG0011001	
OG0011010	Pech|nbis-mrna-14107
OG0011034	
OG0011064	Pech|nbis-mrna-1294, Pech|nbis-mrna-14894
OG0011101	
OG0011144	Pech|nbis-mrna-5872
OG0011177	
OG0011194	
OG0011195	
OG0011220	Pech|nbis-mrna-18035
OG0011245	Pech|nbis-mrna-11524, Pech|nbis-mrna-1199, Pech|nbis-mrna-13030, Pech|nbis-mrna-13263, Pech|nbis-mrna-15477, Pech|nbis-mrna-15840, Pech|nbis-mrna-16525, Pech|nbis-mrna-17660, Pech|nbis-mrna-18373, Pech|nbis-mrna-1839, Pech|nbis-mrna-3087
OG0011247	
OG0011282	
OG0011297	Pech|nbis-mrna-14791
OG0011302	
OG0011349	
OG0011361	Pech|nbis-mrna-17286
OG0011365	
OG0011384	Pech|nbis-mrna-18502
OG0011440	Pech|nbis-mrna-8937
OG0011535	Pech|nbis-mrna-12731
OG0011550	Pech|nbis-mrna-339
OG0011551	Pech|nbis-mrna-16886
OG0011569	
OG0011578	Pech|nbis-mrna-407
OG0011594	
OG0011599	Pech|nbis-mrna-6576
OG0011636	
OG0011673	
OG0011682	
OG0011691	Pech|nbis-mrna-6324
OG0011692	Pech|nbis-mrna-2667
OG0011749	Pech|nbis-mrna-11805, Pech|nbis-mrna-14319, Pech|nbis-mrna-14320, Pech|nbis-mrna-18246, Pech|nbis-mrna-20813, Pech|nbis-mrna-21482, Pech|nbis-mrna-22560, Pech|nbis-mrna-3509, Pech|nbis-mrna-3746, Pech|nbis-mrna-3818, Pech|nbis-mrna-9078, Pech|nbis-mrna-9753, Pech|nbis-mrna-9879
OG0011766	
OG0011783	
OG0011840	
OG0011842	Pech|nbis-mrna-20100, Pech|nbis-mrna-6934
OG0011859	Pech|nbis-mrna-7574
OG0011869	Pech|nbis-mrna-17702
OG0011899	Pech|nbis-mrna-1075, Pech|nbis-mrna-1614, Pech|nbis-mrna-17003
OG0011961	
OG0011963	
OG0012121	Pech|nbis-mrna-2059
OG0012150	
OG0012238	Pech|nbis-mrna-11712, Pech|nbis-mrna-14784, Pech|nbis-mrna-14786, Pech|nbis-mrna-21505, Pech|nbis-mrna-7191, Pech|nbis-mrna-7192, Pech|nbis-mrna-7458
OG0012270	Pech|nbis-mrna-9359
OG0012277	
OG0012289	
OG0012354	
OG0012357	
OG0012364	Pech|nbis-mrna-1244
OG0012368	
OG0012376	Pech|nbis-mrna-20643
OG0012418	
OG0012483	Pech|nbis-mrna-10630, Pech|nbis-mrna-14979
OG0012527	
OG0012703	Pech|nbis-mrna-365
OG0012734	
OG0012735	
OG0012752	Pech|nbis-mrna-21143
OG0012778	Pech|nbis-mrna-10928
OG0012808	
OG0012923	Pech|nbis-mrna-18654
OG0012957	Pech|nbis-mrna-14641
OG0012989	
OG0012993	Pech|nbis-mrna-10699, Pech|nbis-mrna-13173
OG0013032	
OG0013213	
OG0013215	
OG0013328	Pech|nbis-mrna-7001
OG0013329	Pech|nbis-mrna-11252
OG0013331	
OG0013379	
OG0013400	Pech|nbis-mrna-13965
OG0013406	
OG0013428	
OG0013516	
OG0013534	
OG0013617	
OG0013673	Pech|nbis-mrna-22005
OG0013761	Pech|nbis-mrna-12576, Pech|nbis-mrna-14485, Pech|nbis-mrna-17716, Pech|nbis-mrna-20299, Pech|nbis-mrna-20300, Pech|nbis-mrna-20301, Pech|nbis-mrna-2480, Pech|nbis-mrna-6693, Pech|nbis-mrna-9729
OG0013765	
OG0013784	
OG0013827	
OG0013889	Pech|nbis-mrna-11283
OG0013940	Pech|nbis-mrna-21463
OG0014035	
OG0014044	Pech|nbis-mrna-15330
OG0014074	
OG0014111	
OG0014118	Pech|nbis-mrna-6921
OG0014132	Pech|nbis-mrna-2000
OG0014150	Pech|nbis-mrna-12627
OG0014161	Pech|nbis-mrna-5022
OG0014183	Pech|nbis-mrna-10307
OG0014202	Pech|nbis-mrna-12329, Pech|nbis-mrna-21674, Pech|nbis-mrna-22017, Pech|nbis-mrna-6899, Pech|nbis-mrna-9023, Pech|nbis-mrna-9472, Pech|nbis-mrna-9632
OG0014204	
OG0014205	
OG0014341	Pech|nbis-mrna-4732
OG0014395	
OG0014398	Pech|nbis-mrna-16573
OG0014399	
OG0014489	
OG0014541	
OG0014689	
OG0014717	
OG0014804	
OG0014898	Pech|nbis-mrna-15594, Pech|nbis-mrna-880
OG0014900	
OG0014909	
OG0014925	
OG0014927	Pech|nbis-mrna-13326
OG0014939	
OG0014942	
OG0014989	
OG0015086	Pech|nbis-mrna-331
OG0015098	Pech|nbis-mrna-3203
OG0015121	
OG0015186	Pech|nbis-mrna-13303
OG0015196	Pech|nbis-mrna-11446
OG0015237	Pech|nbis-mrna-12085
OG0015301	Pech|nbis-mrna-8909
OG0015443	
OG0015510	Pech|nbis-mrna-17497, Pech|nbis-mrna-9691, Pech|nbis-mrna-9692, Pech|nbis-mrna-9693, Pech|nbis-mrna-9694, Pech|nbis-mrna-9695, Pech|nbis-mrna-9696, Pech|nbis-mrna-9697
OG0015562	
OG0015691	
OG0015696	
OG0015721	Pech|nbis-mrna-9777
OG0015726	Pech|nbis-mrna-3377
OG0015727	
OG0015774	Pech|nbis-mrna-19020
OG0015792	Pech|nbis-mrna-4587, Pech|nbis-mrna-4591
OG0015793	Pech|nbis-mrna-20880
OG0015809	Pech|nbis-mrna-14290
OG0015815	Pech|nbis-mrna-1537
OG0015852	
OG0015858	Pech|nbis-mrna-3033
OG0015890	
OG0015910	
OG0015939	Pech|nbis-mrna-579
OG0015941	
OG0015946	
OG0015960	Pech|nbis-mrna-18017
OG0016025	Pech|nbis-mrna-4905
OG0016048	
OG0016061	Pech|nbis-mrna-435
OG0016123	
OG0016146	
OG0016148	Pech|nbis-mrna-2144
OG0016179	Pech|nbis-mrna-1112, Pech|nbis-mrna-13432, Pech|nbis-mrna-2082, Pech|nbis-mrna-2730, Pech|nbis-mrna-387, Pech|nbis-mrna-7544
OG0016191	Pech|nbis-mrna-14708
OG0016263	
OG0016324	
OG0016329	Pech|nbis-mrna-21320
OG0016382	Pech|nbis-mrna-21626
OG0016423	
OG0016576	
OG0016606	
OG0016614	
OG0016622	Pech|nbis-mrna-10003, Pech|nbis-mrna-11844, Pech|nbis-mrna-1347, Pech|nbis-mrna-16408, Pech|nbis-mrna-20318, Pech|nbis-mrna-22412, Pech|nbis-mrna-6629
OG0016637	Pech|nbis-mrna-13794, Pech|nbis-mrna-5402
OG0016672	Pech|nbis-mrna-21930
OG0016930	
OG0016957	
OG0016993	
OG0016997	
OG0016999	
OG0017017	
OG0017044	
OG0017178	
OG0017180	
OG0017196	
OG0017202	
OG0017219	
OG0017238	
OG0017251	
OG0017266	Pech|nbis-mrna-11476, Pech|nbis-mrna-6417
OG0017319	
OG0017355	
OG0017359	Pech|nbis-mrna-13012
OG0017367	Pech|nbis-mrna-4321
OG0017393	Pech|nbis-mrna-15655
OG0017440	
OG0017470	Pech|nbis-mrna-5063
OG0017498	
OG0017514	Pech|nbis-mrna-19423
OG0017524	
OG0017534	
OG0017597	Pech|nbis-mrna-21444
OG0017624	
OG0017629	Pech|nbis-mrna-487
OG0017667	Pech|nbis-mrna-14049
OG0017669	
OG0017692	
OG0017694	Pech|nbis-mrna-262, Pech|nbis-mrna-3965, Pech|nbis-mrna-628, Pech|nbis-mrna-9661
OG0017698	Pech|nbis-mrna-21903
OG0017731	
OG0017735	
OG0017837	
OG0017885	
OG0017891	
OG0018034	Pech|nbis-mrna-10282, Pech|nbis-mrna-16067, Pech|nbis-mrna-22092, Pech|nbis-mrna-4639, Pech|nbis-mrna-4643
OG0018069	
OG0018152	
OG0018197	
OG0018199	
OG0018227	
OG0018228	
OG0018322	Pech|nbis-mrna-13201, Pech|nbis-mrna-15151, Pech|nbis-mrna-21702, Pech|nbis-mrna-4098, Pech|nbis-mrna-5293, Pech|nbis-mrna-9151
OG0018549	
OG0018588	
OG0018626	
OG0018654	Pech|nbis-mrna-14720, Pech|nbis-mrna-5049
OG0018691	
OG0018707	Pech|nbis-mrna-1275
OG0018710	Pech|nbis-mrna-10251, Pech|nbis-mrna-21155, Pech|nbis-mrna-6614
OG0018722	Pech|nbis-mrna-2488
OG0018752	Pech|nbis-mrna-2386
OG0018757	
OG0018775	
OG0018789	
OG0018790	
OG0018826	
OG0018868	
OG0018884	
OG0018968	Pech|nbis-mrna-15886, Pech|nbis-mrna-18256, Pech|nbis-mrna-5138, Pech|nbis-mrna-7902, Pech|nbis-mrna-8474
OG0018972	Pech|nbis-mrna-6586
OG0018996	
OG0019009	Pech|nbis-mrna-16011, Pech|nbis-mrna-16966
OG0019054	
OG0019166	
OG0019174	Pech|nbis-mrna-11360, Pech|nbis-mrna-12297
OG0019183	Pech|nbis-mrna-617
OG0019199	
OG0019211	
OG0019266	
OG0019280	Pech|nbis-mrna-14212
OG0019315	
OG0019333	
OG0019362	
OG0019370	Pech|nbis-mrna-18321
OG0019375	
OG0019389	
OG0019393	
OG0019401	
OG0019437	
OG0019469	Pech|nbis-mrna-19680
OG0019479	
OG0019522	
OG0019539	Pech|nbis-mrna-18982, Pech|nbis-mrna-19740
OG0019580	
OG0019722	
OG0019859	
OG0019922	
OG0020152	Pech|nbis-mrna-11786
OG0020265	
OG0020298	Pech|nbis-mrna-2269
OG0020346	
OG0020359	
OG0020374	
OG0020376	
OG0020384	
OG0020392	
OG0020395	
OG0020398	
OG0020418	
OG0020428	
OG0020585	
OG0020866	
OG0020909	Pech|nbis-mrna-2107
OG0020978	
OG0020995	
OG0021030	Pech|nbis-mrna-13694
OG0021062	
OG0021072	
OG0021075	
OG0021079	Pech|nbis-mrna-1274, Pech|nbis-mrna-15966
OG0021096	
OG0021165	Pech|nbis-mrna-12019
OG0021166	Pech|nbis-mrna-479
OG0021168	Pech|nbis-mrna-15903, Pech|nbis-mrna-18425, Pech|nbis-mrna-7029, Pech|nbis-mrna-7030
OG0021169	Pech|nbis-mrna-3383
OG0021174	
OG0021177	
OG0021193	Pech|nbis-mrna-379
OG0021212	
OG0021300	Pech|nbis-mrna-1246
OG0021338	
OG0021379	
OG0021445	Pech|nbis-mrna-19477
OG0021554	
OG0021573	
OG0021576	
OG0021627	Pech|nbis-mrna-10400
OG0021686	Pech|nbis-mrna-15102
OG0021699	Pech|nbis-mrna-15860, Pech|nbis-mrna-20282, Pech|nbis-mrna-6568
OG0021700	
OG0021703	Pech|nbis-mrna-476
OG0021721	
OG0021811	
OG0021819	Pech|nbis-mrna-1137
OG0021841	Pech|nbis-mrna-11010, Pech|nbis-mrna-16412
OG0021873	
OG0021890	
OG0021901	Pech|nbis-mrna-4691
OG0021917	Pech|nbis-mrna-11554
OG0021929	Pech|nbis-mrna-4790
OG0021943	Pech|nbis-mrna-6500
OG0021952	
OG0021998	Pech|nbis-mrna-4140
OG0022041	Pech|nbis-mrna-11306
OG0022043	
OG0022104	Pech|nbis-mrna-4502, Pech|nbis-mrna-6409
OG0022107	Pech|nbis-mrna-5505, Pech|nbis-mrna-5643
OG0022179	
OG0022187	
OG0022190	Pech|nbis-mrna-15183, Pech|nbis-mrna-17062
OG0022196	Pech|nbis-mrna-9451, Pech|nbis-mrna-9456
OG0022218	
OG0022368	
OG0022402	Pech|nbis-mrna-12918
OG0022425	Pech|nbis-mrna-13469
OG0022493	
OG0022570	Pech|nbis-mrna-6450
OG0022595	
OG0023128	
OG0023130	Pech|nbis-mrna-11856
OG0023249	
OG0023366	
OG0023385	Pech|nbis-mrna-7858
OG0023414	
OG0023417	Pech|nbis-mrna-18641, Pech|nbis-mrna-19728
OG0023460	
OG0023461	
OG0023484	Pech|nbis-mrna-12325
OG0023507	Pech|nbis-mrna-21772
OG0023545	
OG0023569	Pech|nbis-mrna-12421, Pech|nbis-mrna-2482
OG0023575	
OG0023760	Pech|nbis-mrna-1188
OG0023820	
OG0024218	
OG0024229	
OG0024313	Pech|nbis-mrna-1419
OG0024336	
OG0024387	
OG0024414	
OG0024445	
OG0024480	
OG0024488	
OG0024600	
OG0024713	Pech|nbis-mrna-11123
OG0024738	Pech|nbis-mrna-3275
OG0024758	Pech|nbis-mrna-12437
OG0024809	
OG0024848	
OG0024894	
OG0024922	Pech|nbis-mrna-2634
OG0024961	
OG0024999	
OG0025040	
OG0025064	
OG0025106	Pech|nbis-mrna-14081
OG0025300	
OG0025316	Pech|nbis-mrna-13293
OG0025322	
OG0025329	Pech|nbis-mrna-7400
OG0025353	Pech|nbis-mrna-21495
OG0025376	
OG0025429	
OG0025521	
OG0025547	
OG0025583	
OG0025615	
OG0025646	Pech|nbis-mrna-11529, Pech|nbis-mrna-13484
OG0025655	
OG0025658	Pech|nbis-mrna-15149, Pech|nbis-mrna-16766, Pech|nbis-mrna-19780
OG0025664	Pech|nbis-mrna-19564
OG0025746	
OG0025757	
OG0025885	
OG0025915	
OG0025918	
OG0025939	
OG0025940	
OG0025982	
OG0025994	Pech|nbis-mrna-17829
OG0026000	Pech|nbis-mrna-16815
OG0026027	Pech|nbis-mrna-13115
OG0026194	
OG0026196	
OG0026219	
OG0026248	Pech|nbis-mrna-11947
OG0026250	
OG0026268	
OG0026271	
OG0026288	
OG0026323	Pech|nbis-mrna-19424
OG0026325	
OG0026327	
OG0026332	Pech|nbis-mrna-22112, Pech|nbis-mrna-22114
OG0026470	Pech|nbis-mrna-21144, Pech|nbis-mrna-3044
OG0026497	
OG0026702	Pech|nbis-mrna-15877, Pech|nbis-mrna-7977
OG0026729	Pech|nbis-mrna-13135, Pech|nbis-mrna-7112
OG0026778	Pech|nbis-mrna-12556
OG0026780	
OG0026803	
OG0027595	
OG0027610	
OG0027721	
OG0027894	
OG0027942	
OG0028013	
OG0028030	
OG0028110	Pech|nbis-mrna-19206
OG0028113	Pech|nbis-mrna-11434, Pech|nbis-mrna-19979
OG0028116	
OG0028135	
OG0028139	
OG0028141	
OG0028155	
OG0028186	Pech|nbis-mrna-20134
OG0028196	
OG0028202	Pech|nbis-mrna-20467
OG0028208	
OG0028219	
OG0028240	Pech|nbis-mrna-10911
OG0028246	
OG0028273	
OG0028543	Pech|nbis-mrna-8134
OG0028586	Pech|nbis-mrna-17006, Pech|nbis-mrna-20440, Pech|nbis-mrna-6465
OG0029393	Pech|nbis-mrna-10760
OG0029454	
OG0029492	
OG0029510	Pech|nbis-mrna-13399
OG0029620	Pech|nbis-mrna-18446
OG0029692	Pech|nbis-mrna-5461
OG0029801	
OG0029879	Pech|nbis-mrna-4
OG0029897	Pech|nbis-mrna-2989
OG0029917	
OG0029932	Pech|nbis-mrna-13252, Pech|nbis-mrna-20366
OG0029943	Pech|nbis-mrna-10692
OG0029949	
OG0029958	
OG0029973	Pech|nbis-mrna-18983
OG0030110	
OG0030138	Pech|nbis-mrna-20148
OG0030286	Pech|nbis-mrna-3843
OG0030331	
OG0030470	Pech|nbis-mrna-4197
OG0030516	
OG0030604	
OG0030609	
OG0030631	Pech|nbis-mrna-1774
OG0030742	
OG0030814	
OG0030908	Pech|nbis-mrna-17534
OG0030972	Pech|nbis-mrna-16500, Pech|nbis-mrna-3928
OG0030983	Pech|nbis-mrna-17913
OG0031010	
OG0031060	
OG0031096	
OG0031184	
OG0031195	
OG0031310	Pech|nbis-mrna-21861
OG0031328	
OG0031356	
OG0031365	
OG0031371	
OG0031433	
OG0031434	
OG0031438	
OG0031442	Pech|nbis-mrna-5480
OG0031529	
OG0031577	
OG0031611	
OG0031648	
OG0031737	Pech|nbis-mrna-6396
